StationId,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,StationName,CountyName,Lon,Lat
81U870,2022/10/30 19:20,322.0,58.0,0.0,144.0,216.0,245.5,334.0,292.5,樂水分校,宜蘭縣,121.529309,24.600282
C0UA40,2022/10/30 19:20,1121.0,30.0,1.5,80.5,159.0,317.0,497.5,434.0,西德山,宜蘭縣,121.752608,24.560647
C1A760,2022/10/30 19:20,217.0,28.0,7.0,80.0,103.5,108.0,120.0,108.0,坪林交控,新北市,121.638556,24.942842
C0UA00,2022/10/30 19:20,392.0,20.5,5.5,52.0,75.5,82.5,116.5,96.0,土場,宜蘭縣,121.495333,24.576533
L1A830,2022/10/30 19:20,210.0,18.5,0.0,47.0,66.5,67.5,73.5,67.5,坪林,新北市,121.713797,24.936785
C0UA10,2022/10/30 19:20,1711.0,17.5,2.5,49.0,74.5,86.5,128.5,103.0,鴛鴦湖,宜蘭縣,121.412228,24.590269
C0T9D0,2022/10/30 19:20,7.0,14.5,0.0,20.5,36.5,56.5,108.0,99.5,和中,花蓮縣,121.741031,24.266761
C0AH00,2022/10/30 19:20,38.0,14.0,3.0,40.5,59.5,100.5,136.5,114.0,汐止,新北市,121.658778,25.066881
C0S900,2022/10/30 19:20,27.0,14.0,1.5,31.0,72.5,87.0,116.5,111.0,蘭嶼高中,臺東縣,121.512142,22.049094
01U050,2022/10/30 19:20,400.0,14.0,0.0,42.0,63.0,68.0,101.0,81.0,土場(1),宜蘭縣,121.49644,24.572873
88T830,2022/10/30 19:20,21.0,13.0,0.0,20.0,35.5,55.5,106.0,96.5,和中,花蓮縣,121.741801,24.270832
A1AB40,2022/10/30 19:20,27.0,13.0,0.0,29.0,44.5,60.0,71.0,63.5,玉成,臺北市,121.582507,25.052193
C0AC70,2022/10/30 19:20,71.0,11.0,2.5,36.5,51.5,61.5,63.0,62.0,信義,臺北市,121.564597,25.037822
C1A9N0,2022/10/30 19:20,435.0,11.0,3.5,19.0,27.0,27.5,28.5,27.5,四十份,新北市,121.593283,24.934158
A1AA70,2022/10/30 19:20,38.0,10.5,0.0,41.0,68.5,79.5,81.5,80.0,舊莊國小,臺北市,121.619405,25.039991
L1A820,2022/10/30 19:20,530.0,10.5,0.0,25.0,40.5,42.5,45.0,42.5,十三股,新北市,121.649599,24.943989
C0UA50,2022/10/30 19:20,808.0,10.0,1.5,39.5,78.0,212.0,419.0,347.0,西帽山,宜蘭縣,121.802628,24.555361
C0S910,2022/10/30 19:20,212.0,9.5,1.0,27.5,54.5,59.5,73.5,69.0,蘭嶼燈塔,臺東縣,121.503117,22.081197
C1U840,2022/10/30 19:20,750.0,9.5,3.0,19.5,28.5,32.0,63.0,49.0,東澳嶺,宜蘭縣,121.8485,24.5378
467620,2022/10/30 19:20,324.0,9.5,1.0,17.0,37.5,42.5,60.5,56.0,蘭嶼,臺東縣,121.55843,22.0369
C0Z310,2022/10/30 19:20,59.0,9.5,2.0,11.5,20.0,48.5,84.5,70.0,清水斷崖,花蓮縣,121.689142,24.218294
A1AA60,2022/10/30 19:20,32.0,9.5,0.0,36.0,57.0,69.0,70.5,69.5,留公國中,臺北市,121.585606,25.037192
466910,2022/10/30 19:20,832.6,9.0,1.5,20.0,44.0,56.0,86.0,80.5,鞍部,臺北市,121.529731,25.182586
01AG00,2022/10/30 19:20,13.0,9.0,0.0,30.0,47.0,80.0,118.0,93.0,社后橋,新北市,121.633793,25.063288
01A420,2022/10/30 19:20,600.0,9.0,0.0,25.0,52.0,72.0,115.0,111.0,竹子湖,臺北市,121.54405,25.162299
C1U850,2022/10/30 19:20,665.0,8.5,6.0,23.0,40.0,46.0,69.0,66.0,觀音海岸,宜蘭縣,121.778556,24.383194
466930,2022/10/30 19:20,607.1,8.0,1.5,22.5,49.5,69.5,115.0,109.0,陽明山,臺北市,121.544547,25.162078
C0AH70,2022/10/30 19:20,34.0,8.0,1.0,19.5,29.5,38.5,44.5,41.0,松山,臺北市,121.550428,25.048711
466990,2022/10/30 19:20,16.1,8.0,2.0,9.0,11.5,17.5,29.5,27.5,花蓮,花蓮縣,121.613275,23.975128
01U230,2022/10/30 19:20,48.0,8.0,0.0,23.0,38.0,79.0,124.0,110.0,大濁水,宜蘭縣,121.739594,24.329422
C0U760,2022/10/30 19:20,22.0,7.5,2.0,20.0,29.5,30.0,60.5,43.0,東澳,宜蘭縣,121.833175,24.521958
C0R790,2022/10/30 19:20,111.0,7.5,1.5,10.0,10.0,10.0,10.0,10.0,九棚,屏東縣,120.894356,22.142069
A1AA80,2022/10/30 19:20,83.0,7.5,0.0,31.5,45.0,54.0,55.5,54.5,市政中心,臺北市,121.556406,25.038894
C0Z190,2022/10/30 19:20,62.0,7.0,0.5,7.5,10.5,23.5,39.0,33.0,富世,花蓮縣,121.629703,24.147433
C1Z110,2022/10/30 19:20,680.0,7.0,2.0,8.5,11.0,20.5,35.0,30.0,三棧,花蓮縣,121.605006,24.115569
CAA010,2022/10/30 19:20,39.0,7.0,0.5,20.5,34.0,64.0,117.5,89.5,國一N013K,新北市,121.628153,25.066739
A1AD10,2022/10/30 19:20,769.0,6.5,0.0,20.0,61.0,80.0,117.5,114.0,擎天崗,臺北市,121.568014,25.163293
82A750,2022/10/30 19:20,401.0,6.5,1.0,16.5,33.5,38.5,39.0,38.5,茶改北部分場,新北市,121.631222,24.955778
C0Z150,2022/10/30 19:20,27.0,6.0,2.5,7.0,8.0,14.5,30.5,26.0,吉安光華,花蓮縣,121.595153,23.930925
C0Z100,2022/10/30 19:20,36.0,6.0,2.0,6.5,7.5,14.5,30.0,25.5,東華,花蓮縣,121.549833,23.89525
C0S730,2022/10/30 19:20,110.0,5.5,1.0,18.5,21.5,26.0,26.5,26.5,綠島,臺東縣,121.475328,22.667203
C0Z230,2022/10/30 19:20,31.0,5.5,0.5,11.5,20.0,27.0,61.5,55.0,和平,花蓮縣,121.770069,24.307169
C0UA60,2022/10/30 19:20,566.0,5.5,4.0,13.5,19.5,25.5,43.0,39.0,樟樹山,宜蘭縣,121.783247,24.413925
C0U960,2022/10/30 19:20,1885.0,5.5,0.5,15.5,27.0,33.5,60.0,43.0,翠峰湖,宜蘭縣,121.608044,24.510856
C0T9E0,2022/10/30 19:20,415.0,5.5,1.0,7.5,9.0,17.0,31.5,27.0,大坑,花蓮縣,121.581981,23.880628
O1T800,2022/10/30 19:20,103.0,5.0,0.0,9.0,12.0,15.0,30.0,19.0,奇美國小,花蓮縣,121.445929,23.496927
O1T840,2022/10/30 19:20,18.0,5.0,0.0,6.0,8.0,14.0,27.0,25.0,花蓮,花蓮縣,121.605986,23.972934
C0T9A0,2022/10/30 19:20,498.0,5.0,0.5,9.0,12.0,22.0,35.5,29.0,月眉山,花蓮縣,121.539828,23.809928
A1AD20,2022/10/30 19:20,662.0,5.0,0.0,13.0,31.5,42.5,82.5,74.5,竹子湖,臺北市,121.528315,25.168295
C0Z290,2022/10/30 19:20,946.0,5.0,1.0,14.0,19.0,25.0,42.5,33.5,赤柯山,花蓮縣,121.382931,23.368928
C0R760,2022/10/30 19:20,336.0,5.0,1.0,9.0,10.0,10.0,10.0,10.0,南仁湖,屏東縣,120.863353,22.084681
C0T9I0,2022/10/30 19:20,152.0,5.0,0.0,13.0,17.0,17.5,21.0,19.0,豐濱,花蓮縣,121.514806,23.583897
C0R720,2022/10/30 19:20,214.0,5.0,0.5,7.0,7.0,7.0,7.0,7.0,旭海,屏東縣,120.887614,22.205403
C1TA00,2022/10/30 19:20,94.0,5.0,1.0,5.5,6.5,14.5,31.5,22.5,太魯閣,花蓮縣,121.623597,24.157728
A1A9Z0,2022/10/30 19:20,31.0,5.0,0.0,21.5,31.0,35.0,36.5,36.0,中正國中,臺北市,121.521906,25.031696
72T250,2022/10/30 19:20,36.0,4.5,1.5,4.5,5.0,10.0,24.5,22.0,花蓮農改,花蓮縣,121.563889,23.975222
C0R830,2022/10/30 19:20,383.0,4.5,0.5,8.0,8.5,8.5,8.5,8.5,高士,屏東縣,120.836781,22.121825
C1AI50,2022/10/30 19:20,64.0,4.5,0.5,19.0,32.0,37.0,38.0,37.0,國三N016K,臺北市,121.619664,25.034164
C0AI10,2022/10/30 19:20,76.0,4.5,0.0,6.5,8.0,8.0,8.0,8.0,屈尺,新北市,121.544725,24.921836
CAAH60,2022/10/30 19:20,18.0,4.5,1.0,20.5,30.5,36.5,38.0,37.5,大安森林,臺北市,121.53628,25.02955
C0AC40,2022/10/30 19:20,1079.0,4.5,1.0,11.5,25.0,35.0,67.0,59.0,大屯山,臺北市,121.522408,25.175675
C0A550,2022/10/30 19:20,422.0,4.5,1.0,9.5,51.5,89.5,113.5,106.0,泰平,新北市,121.823711,24.971197
C0Z180,2022/10/30 19:20,34.0,4.5,0.0,4.5,5.5,15.0,31.5,27.0,新城,花蓮縣,121.604878,24.040486
A1AA50,2022/10/30 19:20,34.0,4.5,0.0,11.0,20.5,44.0,97.5,76.0,東湖國小,臺北市,121.615007,25.069191
C1T920,2022/10/30 19:20,68.0,4.5,3.0,7.5,11.5,20.0,35.5,29.5,中興,花蓮縣,121.498653,23.769503
C0U770,2022/10/30 19:20,5.0,4.5,2.5,8.0,11.0,13.5,23.5,18.0,南澳,宜蘭縣,121.810219,24.449347
C0R680,2022/10/30 19:20,4.0,4.0,0.5,7.5,10.0,10.0,10.0,10.0,佳樂水,屏東縣,120.861633,21.993578
C0AH30,2022/10/30 19:20,755.0,4.0,0.0,10.5,32.0,40.5,43.0,43.0,五分山,新北市,121.780794,25.07125
01T9J0,2022/10/30 19:20,730.0,4.0,0.0,13.0,14.0,17.0,36.0,20.0,六十石山,花蓮縣,121.32297,23.217557
01U790,2022/10/30 19:20,268.0,4.0,0.0,34.0,70.0,299.0,561.0,488.0,清水,宜蘭縣,121.637272,24.614906
C1U930,2022/10/30 19:20,5.0,4.0,2.5,13.5,14.0,14.0,18.0,18.0,粉鳥林,宜蘭縣,121.842481,24.497089
01B030,2022/10/30 19:20,16.0,4.0,0.0,16.0,31.0,71.0,119.0,108.0,五堵,基隆市,121.696626,25.079005
C1S880,2022/10/30 19:20,474.0,4.0,0.5,5.0,5.0,5.0,5.0,5.0,壽卡,臺東縣,120.858903,22.238911
466920,2022/10/30 19:20,6.3,4.0,0.5,15.5,24.5,29.0,32.0,31.5,臺北,臺北市,121.514853,25.037658
01Q860,2022/10/30 19:20,320.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,牡丹,屏東縣,120.836703,22.175595
C0T9H0,2022/10/30 19:20,725.0,4.0,1.0,14.0,16.5,18.0,27.5,23.5,加路蘭山,花蓮縣,121.5274,23.682947
C1T970,2022/10/30 19:20,183.0,4.0,0.5,6.0,8.0,11.5,24.0,17.0,大農,花蓮縣,121.413331,23.615233
A1AB20,2022/10/30 19:20,31.0,4.0,0.0,14.0,20.5,23.0,24.5,24.0,雙園,臺北市,121.490307,25.030298
C0Z280,2022/10/30 19:20,224.0,4.0,0.0,5.0,5.5,6.5,15.5,9.0,德武,花蓮縣,121.410711,23.474264
CAA040,2022/10/30 19:20,71.0,4.0,0.5,16.5,28.0,32.0,32.5,32.0,國三S016K,臺北市,121.6158,25.03306
01T500,2022/10/30 19:20,20.0,4.0,0.0,4.0,6.0,15.0,32.0,28.0,北埔,花蓮縣,121.604462,24.037079
01A200,2022/10/30 19:20,380.0,4.0,0.0,10.0,37.0,106.0,257.0,209.0,火燒寮,新北市,121.749275,24.981089
A1AA00,2022/10/30 19:20,28.0,3.5,0.0,18.0,28.5,35.0,36.0,35.5,三興國小,臺北市,121.558106,25.029194
C0Z270,2022/10/30 19:20,343.0,3.5,2.0,10.5,13.0,17.0,27.0,25.0,蕃薯寮,花蓮縣,121.540108,23.73835
C0T9F0,2022/10/30 19:20,251.0,3.5,0.5,6.5,9.0,13.5,21.0,18.0,水璉,花蓮縣,121.542514,23.797131
C0C680,2022/10/30 19:20,228.0,3.5,1.0,9.0,12.0,13.0,13.5,13.5,龜山,桃園市,121.386561,25.028458
A1A9Y0,2022/10/30 19:20,28.0,3.5,0.0,10.5,18.5,29.0,44.5,37.0,民生國中,臺北市,121.566707,25.059693
C0R280,2022/10/30 19:20,242.0,3.5,0.5,7.5,8.5,8.5,8.5,8.5,檳榔,屏東縣,120.836794,22.076075
A1A9T0,2022/10/30 19:20,318.0,3.5,0.0,7.5,17.0,27.5,52.0,47.5,大屯國小,臺北市,121.503915,25.154997
L1A840,2022/10/30 19:20,403.0,3.0,0.0,8.0,44.5,81.0,102.0,96.5,太平,新北市,121.828198,24.971779
C0R840,2022/10/30 19:20,536.0,3.0,0.5,5.0,5.0,5.0,5.0,5.0,牡丹池山,屏東縣,120.841225,22.168389
CAA030,2022/10/30 19:20,50.0,3.0,0.5,6.5,15.5,48.0,149.5,127.5,國三S010K,新北市,121.6475,25.08
01U070,2022/10/30 19:20,585.0,3.0,0.0,7.0,15.0,16.0,24.0,17.0,留茂安,宜蘭縣,121.451236,24.531772
01U470,2022/10/30 19:20,32.0,3.0,0.0,16.0,21.0,25.0,50.0,41.0,武塔,宜蘭縣,121.77722,24.449458
01T730,2022/10/30 19:20,30.0,3.0,0.0,9.0,11.0,12.0,16.0,13.0,豐濱,花蓮縣,121.520492,23.602442
A1AG40,2022/10/30 19:20,315.0,3.0,0.0,15.5,27.5,32.0,33.0,32.5,四獸山,臺北市,121.582905,25.029293
A1AC60,2022/10/30 19:20,44.0,3.0,0.0,15.5,27.5,32.5,33.5,32.5,九如里,臺北市,121.611605,25.032491
01R000,2022/10/30 19:20,420.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,壽卡,屏東縣,120.835687,22.245154
C0R750,2022/10/30 19:20,551.0,3.0,0.5,6.5,8.0,8.0,8.0,8.0,四林格山,屏東縣,120.802439,22.076989
21D350,2022/10/30 19:20,2000.0,3.0,0.0,8.0,11.5,12.5,17.0,12.5,西丘斯山,新竹縣,121.358179,24.581505
C1U920,2022/10/30 19:20,2085.0,2.5,0.5,4.0,11.0,12.0,16.5,12.5,思源,宜蘭縣,121.347214,24.393125
C0T9B0,2022/10/30 19:20,558.0,2.5,1.5,3.0,3.0,7.0,25.5,16.0,水源,花蓮縣,121.537169,23.991861
C0Z070,2022/10/30 19:20,247.0,2.5,0.5,3.5,3.5,5.5,11.5,9.0,舞鶴,花蓮縣,121.374069,23.468114
81T870,2022/10/30 19:20,26.0,2.5,0.0,9.0,10.5,11.0,17.5,12.5,東興部落,花蓮縣,121.530893,23.635204
C0C740,2022/10/30 19:20,5.3,2.5,0.5,4.0,4.5,5.0,5.5,5.5,觀音工業區,桃園市,121.114858,25.064767
C0Z220,2022/10/30 19:20,589.0,2.5,1.0,6.5,15.0,31.5,59.0,49.5,和平林道,花蓮縣,121.656317,24.343922
C0A860,2022/10/30 19:20,362.0,2.5,1.5,3.5,24.0,26.5,26.5,26.5,大坪,新北市,121.632969,25.165914
A1AD00,2022/10/30 19:20,489.0,2.5,0.0,7.0,22.5,28.5,38.0,35.5,菁山里,臺北市,121.566013,25.143993
C0Z061,2022/10/30 19:20,174.0,2.5,0.5,5.0,5.5,6.5,14.0,9.5,玉里,花蓮縣,121.339656,23.3215
C0Z170,2022/10/30 19:20,199.0,2.5,0.5,3.5,3.5,4.5,13.0,7.5,卓溪,花蓮縣,121.302853,23.344331
C0Z210,2022/10/30 19:20,126.0,2.5,0.0,4.5,4.5,6.0,21.0,11.5,瑞穗,花蓮縣,121.390211,23.5239
A0A460,2022/10/30 19:20,424.4,2.2,1.0,5.0,13.8,18.0,24.0,21.8,文化大學,臺北市,121.53987,25.13605
C0C690,2022/10/30 19:20,242.0,2.0,0.0,4.0,7.5,8.0,9.0,9.0,國一五楊N44K,桃園市,121.340164,25.063861
01U560,2022/10/30 19:20,1960.0,2.0,0.0,8.0,13.0,17.0,40.0,27.0,太平山(1),宜蘭縣,121.536435,24.494522
01A410,2022/10/30 19:20,15.0,2.0,0.0,16.0,28.0,32.0,34.0,33.0,中正橋,臺北市,121.516401,25.021931
01T9L0,2022/10/30 19:20,110.0,2.0,0.0,7.0,8.0,15.0,29.0,23.0,東富,花蓮縣,121.482088,23.684836
L1A790,2022/10/30 19:20,202.0,2.0,0.0,2.5,3.5,3.5,3.5,3.5,翡翠,新北市,121.580097,24.907093
C0R780,2022/10/30 19:20,72.0,2.0,0.5,5.0,6.5,6.5,6.5,6.5,滿州,屏東縣,120.839892,22.024403
C0AH40,2022/10/30 19:20,426.0,2.0,1.0,4.5,18.0,23.0,36.5,33.0,平等,臺北市,121.577086,25.129142
C0U900,2022/10/30 19:20,63.0,2.0,2.0,3.0,5.5,7.5,8.0,8.0,內城,宜蘭縣,121.687664,24.718133
C1S870,2022/10/30 19:20,222.0,2.0,0.5,7.0,8.5,8.5,9.5,8.5,南美山,臺東縣,121.382333,23.15025
C0R710,2022/10/30 19:20,117.0,2.0,0.5,4.0,6.5,6.5,6.5,6.5,龍磐,屏東縣,120.838942,21.931672
C0S840,2022/10/30 19:20,22.0,2.0,0.5,2.0,2.0,2.0,2.0,2.0,南田,臺東縣,120.889208,22.279725
01U450,2022/10/30 19:20,160.0,2.0,0.0,12.0,15.0,24.0,45.0,38.0,樟林,宜蘭縣,121.749405,24.42585
81T900,2022/10/30 19:20,179.0,2.0,0.0,3.0,3.5,4.5,13.5,7.5,卓溪國小,花蓮縣,121.303333,23.345833
C0R800,2022/10/30 19:20,131.0,2.0,0.5,2.5,2.5,2.5,2.5,2.5,丹路,屏東縣,120.750989,22.204481
C0R690,2022/10/30 19:20,248.0,2.0,0.5,4.5,7.0,7.0,7.0,7.0,墾丁,屏東縣,120.810269,21.966756
81S910,2022/10/30 19:20,21.0,2.0,0.0,2.0,2.5,2.5,2.5,2.5,膽曼,臺東縣,121.412806,23.224869
C0U870,2022/10/30 19:20,474.0,2.0,1.0,2.5,3.0,9.5,9.5,9.5,大礁溪,宜蘭縣,121.675047,24.791042
01U060,2022/10/30 19:20,295.0,2.0,0.0,42.0,108.0,175.0,294.0,240.0,梵梵(2),宜蘭縣,121.525585,24.613062
C0Z080,2022/10/30 19:20,298.0,2.0,0.0,4.0,5.0,8.0,18.5,11.5,富源,花蓮縣,121.378225,23.587642
C0A870,2022/10/30 19:20,685.0,2.0,1.0,4.0,19.0,25.0,40.5,38.5,五指山,新北市,121.608692,25.132153
CAC020,2022/10/30 19:20,109.0,1.5,0.0,2.0,2.5,2.5,2.5,2.5,國二E009K,桃園市,121.273697,25.018244
A1AC80,2022/10/30 19:20,111.0,1.5,0.0,3.0,10.5,17.0,28.0,25.5,明德樂園,臺北市,121.565711,25.113693
C0U600,2022/10/30 19:20,10.0,1.5,0.0,1.5,1.5,2.5,2.5,2.5,礁溪,宜蘭縣,121.765608,24.817539
C1T950,2022/10/30 19:20,1050.0,1.5,0.5,3.5,9.5,17.5,43.0,29.5,太安,花蓮縣,121.370128,23.666719
C0C620,2022/10/30 19:20,19.0,1.5,0.5,2.5,4.5,5.5,7.0,7.0,蘆竹,桃園市,121.265767,25.084275
81T890,2022/10/30 19:20,103.0,1.5,0.0,3.0,3.5,5.0,19.0,11.5,瑞北國小,花蓮縣,121.376111,23.525556
C0ACA0,2022/10/30 19:20,25.0,1.5,0.5,2.0,3.0,3.5,4.5,4.5,新莊,新北市,121.446756,25.051478
A1AD80,2022/10/30 19:20,278.0,1.5,0.0,3.0,5.5,10.0,21.5,19.0,貴子坑,臺北市,121.489815,25.155898
C0C720,2022/10/30 19:20,21.0,1.5,0.0,3.0,3.5,4.0,4.5,4.5,竹圍,桃園市,121.239825,25.112694
C0T9M0,2022/10/30 19:20,92.0,1.5,0.0,4.5,6.0,6.0,11.5,7.0,靜浦,花蓮縣,121.495028,23.455167
88T920,2022/10/30 19:20,128.0,1.5,0.0,5.0,6.5,9.5,21.0,15.0,大興,花蓮縣,121.397778,23.631944
C0S980,2022/10/30 19:20,903.0,1.5,0.5,2.0,2.0,2.0,2.5,2.0,勝林山,臺東縣,120.8938,22.430439
A1AD60,2022/10/30 19:20,317.0,1.5,0.0,4.0,10.0,16.0,16.0,16.0,貓空,臺北市,121.595301,24.968892
A1AD40,2022/10/30 19:20,814.0,1.5,0.0,4.5,13.0,16.5,23.5,22.5,小油坑,臺北市,121.548816,25.180294
C0C480,2022/10/30 19:20,105.0,1.5,0.5,4.5,9.5,11.5,11.5,11.5,桃園,桃園市,121.323172,24.992425
81T880,2022/10/30 19:20,13.0,1.5,0.0,4.0,7.0,7.0,14.5,8.5,石梯坪,花蓮縣,121.511389,23.483056
C0UA30,2022/10/30 19:20,1397.0,1.5,0.0,5.0,9.0,9.0,14.5,9.5,白嶺,宜蘭縣,121.519031,24.527819
C1Z120,2022/10/30 19:20,62.0,1.5,0.5,1.5,2.0,7.0,19.0,14.0,壽豐,花蓮縣,121.508081,23.870853
C0T960,2022/10/30 19:20,120.0,1.5,0.0,4.5,6.0,10.0,18.5,14.5,光復,花蓮縣,121.424964,23.660694
L1A810,2022/10/30 19:20,378.0,1.5,0.0,1.5,2.0,2.0,2.0,2.0,九芎根,新北市,121.649896,24.902389
C0SA90,2022/10/30 19:20,497.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,達仁林場,臺東縣,120.823972,22.264347
C1S850,2022/10/30 19:20,489.0,1.5,0.0,3.5,3.5,4.0,9.0,5.5,豐南,花蓮縣,121.262389,23.122139
C0AI30,2022/10/30 19:20,26.0,1.5,0.0,2.5,3.5,4.5,5.5,5.5,三重,新北市,121.500625,25.057378
81AH80,2022/10/30 19:20,73.0,1.5,0.0,8.0,16.5,17.0,17.0,17.0,五城加油站,新北市,121.470989,24.939858
C0R620,2022/10/30 19:20,34.0,1.5,0.5,4.5,9.5,9.5,9.5,9.5,墾雷,屏東縣,120.855269,21.900836
C0R770,2022/10/30 19:20,93.0,1.5,0.0,3.5,4.0,4.0,4.0,4.0,保力,屏東縣,120.764111,22.071122
CAC040,2022/10/30 19:20,1684.0,1.0,0.0,3.5,5.5,11.0,19.0,16.0,拉拉山,桃園市,121.427133,24.699317
01T240,2022/10/30 19:20,940.0,1.0,0.0,3.0,3.0,4.0,16.0,6.0,苗圃,花蓮縣,121.279375,23.417015
C0T9G0,2022/10/30 19:20,605.0,1.0,0.0,1.0,6.0,11.5,26.0,20.5,鳳林山,花蓮縣,121.420131,23.735269
C0Z330,2022/10/30 19:20,488.0,1.0,0.0,2.5,2.5,3.0,7.0,4.0,安通山,花蓮縣,121.348528,23.290728
C0Z200,2022/10/30 19:20,153.0,1.0,0.5,1.5,4.0,12.5,27.5,21.0,萬榮,花蓮縣,121.420106,23.709219
A1AC90,2022/10/30 19:20,453.0,1.0,0.0,4.5,22.5,29.0,42.0,39.0,溪山里,臺北市,121.588912,25.136892
C0S790,2022/10/30 19:20,236.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,金崙,臺東縣,120.966875,22.538122
A0A010,2022/10/30 19:20,17.0,1.0,0.0,5.0,14.5,16.0,17.0,17.0,臺灣大學,臺北市,121.539416,25.014278
C1Z030,2022/10/30 19:20,218.0,1.0,0.0,1.5,1.5,2.5,9.5,5.0,紅葉,花蓮縣,121.338806,23.493119
81T860,2022/10/30 19:20,98.0,1.0,0.0,4.5,7.5,16.0,25.5,21.5,山興分校,花蓮縣,121.4975,23.727778
C0T9N0,2022/10/30 19:20,261.0,1.0,0.0,2.5,2.5,3.0,9.0,5.0,富里,花蓮縣,121.249378,23.171639
C0S770,2022/10/30 19:20,375.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,大溪山,臺東縣,120.943325,22.478475
C0AH50,2022/10/30 19:20,275.0,1.0,0.0,1.5,2.0,2.5,3.0,3.0,林口,新北市,121.380839,25.072181
O1AH30,2022/10/30 19:20,174.0,1.0,0.0,3.0,5.0,10.0,18.0,18.0,吉林國小,新北市,121.887489,24.985827
C0T870,2022/10/30 19:20,135.0,1.0,1.0,1.0,1.0,3.5,17.0,12.5,鯉魚潭,花蓮縣,121.508944,23.935639
01C570,2022/10/30 19:20,64.0,1.0,0.0,4.0,6.0,7.0,7.0,7.0,龍壽社區,桃園市,121.387637,25.010105
A1AB80,2022/10/30 19:20,127.0,1.0,0.0,3.0,9.5,14.5,25.5,23.0,雙溪,臺北市,121.569411,25.113593
A1AB50,2022/10/30 19:20,25.0,1.0,0.0,2.0,3.5,6.0,13.0,12.0,建國,臺北市,121.528909,25.072195
01S270,2022/10/30 19:20,115.0,1.0,0.0,6.0,7.0,7.0,13.0,8.0,樟原(1),臺東縣,121.459474,23.403797
C0V730,2022/10/30 19:20,33.0,1.0,0.5,2.0,2.0,2.0,2.0,2.0,大寮,高雄市,120.395717,22.605614
C1Z040,2022/10/30 19:20,434.0,1.0,0.0,1.5,2.0,3.0,13.0,7.5,立山,花蓮縣,121.327375,23.443356
C0AH90,2022/10/30 19:20,660.0,1.0,0.5,4.0,9.0,31.0,36.0,34.0,福山植物園,新北市,121.58135,24.760717
21C090,2022/10/30 19:20,1260.0,1.0,0.0,6.0,10.0,11.0,13.0,12.0,嘎拉賀,桃園市,121.408182,24.631502
O1T820,2022/10/30 19:20,150.0,1.0,0.0,2.0,2.0,3.0,7.0,6.0,太平國小,花蓮縣,121.320127,23.405748
C1R290,2022/10/30 19:20,260.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,石門山,屏東縣,120.756597,22.112611
01T720,2022/10/30 19:20,210.0,1.0,0.0,2.0,2.0,2.0,7.0,3.0,明里,花蓮縣,121.25167,23.202324
C0R600,2022/10/30 19:20,766.0,1.0,0.0,3.0,8.0,8.0,8.0,8.0,舊泰武,屏東縣,120.664944,22.588194
CAA070,2022/10/30 19:20,54.0,1.0,0.5,3.0,8.0,9.0,9.0,9.0,國三N046K,新北市,121.3958,24.95083
O1S660,2022/10/30 19:20,43.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,賓茂國小,臺東縣,120.954393,22.532409
A1AG30,2022/10/30 19:20,160.0,1.0,0.0,2.5,3.0,5.5,9.5,9.0,稻香里,臺北市,121.483915,25.147998
O1R620,2022/10/30 19:20,9.6,1.0,0.0,2.0,2.0,2.0,2.0,2.0,新庄國小,屏東縣,120.488328,22.560122
C0A520,2022/10/30 19:20,48.0,1.0,0.0,3.5,8.0,9.0,9.0,9.0,山佳,新北市,121.402008,24.974944
A1AC70,2022/10/30 19:20,118.0,1.0,0.0,3.5,12.0,14.0,16.0,16.0,挹翠山莊,臺北市,121.574405,25.017093
CAA060,2022/10/30 19:20,50.0,1.0,0.5,2.5,9.0,10.0,10.0,10.0,國三S042K,新北市,121.4306,24.96
C0U710,2022/10/30 19:20,1942.0,1.0,0.0,3.5,5.5,7.5,17.0,10.5,太平山,宜蘭縣,121.525656,24.505486
467610,2022/10/30 19:20,33.3,1.0,0.0,6.5,8.5,8.5,9.5,8.5,成功,臺東縣,121.373428,23.097486
21D170,2022/10/30 19:20,630.0,1.0,0.0,1.0,1.0,1.0,1.5,1.0,鎮西堡,新竹縣,121.308179,24.564908
V2C260,2022/10/30 19:20,103.0,1.0,0.5,2.5,4.0,4.5,4.5,4.5,八德蔬果,桃園市,121.281819,24.978508
CAC050,2022/10/30 19:20,23.0,1.0,0.5,2.0,3.5,4.0,4.5,4.5,西濱S023K,桃園市,121.27551,25.11649
CAA050,2022/10/30 19:20,51.0,1.0,0.5,2.5,8.5,9.5,9.5,9.5,國三S037K,新北市,121.471042,24.982361
81T910,2022/10/30 19:20,173.0,1.0,0.0,1.0,1.0,1.5,5.0,2.5,東里國中,花蓮縣,121.303056,23.263333
01S470,2022/10/30 19:20,2362.0,1.0,0.0,3.0,3.0,4.0,10.0,4.0,向陽(2),臺東縣,120.985899,23.247932
